"","V1","V2"
"(Intercept)",1,1
"n_tokens_title",14,14
"n_tokens_content",174,174
"n_unique_tokens",0.678160915643,0.67816092
"n_non_stop_words",0.999999991071,0.99999999
"n_non_stop_unique_tokens",0.785714278699,0.78571428
"num_hrefs",3,3
"num_self_hrefs",2,2
"num_imgs",0,0
"num_videos",1,1
"average_token_length",4.47126436782,4.4712644
"num_keywords",6,6
"kw_min_min",-1,-1
"kw_max_min",601,601
"kw_avg_min",195.5,195.5
"kw_min_max",49800,49800
"kw_max_max",843300,843300
"kw_avg_max",214733.333333,214733.33
"kw_min_avg",2317.47916667,2317.4792
"kw_max_avg",5777.09090909,5777.0909
"kw_avg_avg",3342.761799,3342.7618
"self_reference_min_shares",601,601
"self_reference_max_shares",3400,3400
"self_reference_avg_sharess",2000.5,2000.5
"is_weekendFALSE",1,1
"LDA_00",0.0333339187498,0.033333919
"LDA_01",0.366258965768,0.36625897
"LDA_02",0.533541186092,0.53354119
"LDA_03",0.0335307890018,0.033530789
"LDA_04",0.0333351403884,0.03333514
"global_subjectivity",0.353921568627,0.35392157
"global_sentiment_polarity",-0.00882352941176,-0.0088235294
"global_rate_positive_words",0.0287356321839,0.028735632
"global_rate_negative_words",0.0344827586207,0.034482759
"rate_positive_words",0.454545454545,0.45454545
"rate_negative_words",0.545454545455,0.54545455
"avg_positive_polarity",0.31,0.31
"min_positive_polarity",0.1,0.1
"max_positive_polarity",0.8,0.8
"avg_negative_polarity",-0.291666666667,-0.29166667
"min_negative_polarity",-0.4,-0.4
"max_negative_polarity",-0.05,-0.05
"title_subjectivity",0.4,0.4
"title_sentiment_polarity",-0.4,-0.4
"abs_title_subjectivity",0.1,0.1
"abs_title_sentiment_polarity",0.4,0.4
"typeentertainment",1,1
"typebus",0,0
"typesocmed",0,0
"typetech",0,0
"typeworld",0,0
"typeothers",0,0
"weekdaytuesday",0,0
"weekdaywednesday",1,1
"weekdaythursday",0,0
"weekdayfriday",0,0
"weekdaysaturday",0,0
"weekdaysunday",0,0
